StateCode,TotalNumberofInvestments,TotalAmountofAssistance,Year
AR,398,9101573,2012
CA,761,26634635,2012
CO,212,1820771,2012
CT,25,913629,2012
DE,33,1058982,2012
FL,81,3033222,2012
GA,585,17319768,2012
HI,32,81729973,2012
ID,137,1584616,2012
IL,31,13367814,2012
IN,52,2989267,2012
IA,129,16341998,2012
KS,126,20520075,2012
KY,20,9332414,2012
LA,48,1189954,2012
ME,30,3209845,2012
MD,18,15396505,2012
MA,20,563032,2012
MI,92,3473638,2012
MN,104,6045256,2012
MS,73,1559523,2012
MO,875,10820631,2012
MT,74,719246,2012
NE,184,3523483,2012
NV,11,61474,2012
NH,29,590099,2012
NJ,48,8090017,2012
NM,21,3051537,2012
NY,73,3625270,2012
NC,74,20422484,2012
ND,14,133169,2012
OH,227,19138975,2012
OK,33,3902776,2012
OR,136,1869871,2012
PA,59,14599175,2012
RI,4,60321,2012
SC,26,10584483,2012
SD,37,1677290,2012
TN,57,1795425,2012
TX,83,157634656,2012
UT,242,50056798,2012
VT,26,1393164,2012
VA,23,2368223,2012
WA,136,18158533,2012
WV,56,653551,2012
WI,56,11055733,2012
WY,19,182296,2012
AL,38,1486918,2013
AK,12,4255167,2013
AZ,53,467795,2013
AR,600,5957222,2013
CA,914,25150615,2013
CO,226,675106,2013
CT,28,1082480,2013
DE,30,1189663,2013
FL,23,2237644,2013
GA,562,2862074,2013
HI,12,166131,2013
ID,87,1428364,2013
IL,54,4309949,2013
IN,78,5510006,2013
IA,178,8664270,2013
KS,123,5277210,2013
KY,54,5123426,2013
LA,29,325255,2013
ME,31,377793,2013
MD,36,1291123,2013
MA,23,808255,2013
MI,98,1786059,2013
MN,117,4760861,2013
MS,144,3456652,2013
MO,718,12501363,2013
MT,60,507626,2013
NE,429,6166308,2013
NV,8,2546578,2013
NH,25,1250485,2013
NJ,29,379491,2013
NM,22,356539,2013
NY,85,4016974,2013
NC,93,15385128,2013
ND,17,225006,2013
OH,181,13860351,2013
OK,33,6404323,2013
OR,118,3814770,2013
PA,69,11039258,2013
RI,5,149933,2013
SC,12,217428,2013
SD,32,698193,2013
TN,93,4540996,2013
TX,152,81613306,2013
UT,175,1376359,2013
VT,37,463034,2013
VA,31,886153,2013
WA,53,1466329,2013
WV,44,303202,2013
WI,70,2546591,2013
WY,17,50102,2013
AL,55,2654775,2014
AK,8,114415,2014
AZ,38,1032775,2014
AR,521,7799984,2014
